Column1;Column2;Column3;Column4;Column5;Column6
# Red box data ;;;;;
# slow cooling cycle (mol con 0.50);;;;;
# t0: 2022              3              8             16             16         32.004;;;;;
# T [K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
2.62269e+02 ; -5.21323e-01 ; -6.51175e-04 ; -2.59014e-05 ; -5.44530e-04 ; 1.15163e+02 
2.61845e+02 ; -5.20255e-01 ; -6.75386e-04 ; -2.58330e-05 ; -5.65457e-04 ; 1.16179e+02 
2.61353e+02 ; -5.20096e-01 ; -6.99258e-04 ; -2.58074e-05 ; -5.89752e-04 ; 1.17179e+02 
2.60862e+02 ; -5.20186e-01 ; -7.20400e-04 ; -2.57942e-05 ; -6.14029e-04 ; 1.18182e+02 
2.60444e+02 ; -5.23100e-01 ; -7.44355e-04 ; -2.59236e-05 ; -6.34670e-04 ; 1.19179e+02 
2.59954e+02 ; -5.23009e-01 ; -7.68709e-04 ; -2.59015e-05 ; -6.58882e-04 ; 1.20197e+02 
2.59463e+02 ; -5.20211e-01 ; -7.89380e-04 ; -2.57453e-05 ; -6.83129e-04 ; 1.21212e+02 
2.59045e+02 ; -5.18321e-01 ; -8.13156e-04 ; -2.56369e-05 ; -7.03788e-04 ; 1.22214e+02 
2.58558e+02 ; -5.18424e-01 ; -8.37076e-04 ; -2.56247e-05 ; -7.27826e-04 ; 1.23199e+02 
2.58076e+02 ; -5.17341e-01 ; -8.57925e-04 ; -2.55539e-05 ; -7.51668e-04 ; 1.24215e+02 
2.57662e+02 ; -5.15559e-01 ; -8.81243e-04 ; -2.54506e-05 ; -7.72130e-04 ; 1.25215e+02 
2.57177e+02 ; -5.14672e-01 ; -9.01514e-04 ; -2.53890e-05 ; -7.96062e-04 ; 1.26216e+02 
2.56762e+02 ; -5.12820e-01 ; -9.25094e-04 ; -2.52825e-05 ; -8.16560e-04 ; 1.27216e+02 
2.56290e+02 ; -5.12612e-01 ; -9.49085e-04 ; -2.52550e-05 ; -8.39907e-04 ; 1.28231e+02 
2.55808e+02 ; -5.13519e-01 ; -9.69136e-04 ; -2.52821e-05 ; -8.63701e-04 ; 1.29244e+02 
2.55401e+02 ; -5.13308e-01 ; -9.92453e-04 ; -2.52569e-05 ; -8.83794e-04 ; 1.30258e+02 
2.54931e+02 ; -5.11357e-01 ; -1.01607e-03 ; -2.51439e-05 ; -9.07010e-04 ; 1.31258e+02 
2.54451e+02 ; -5.13192e-01 ; -1.03577e-03 ; -2.52167e-05 ; -9.30709e-04 ; 1.32272e+02 
2.54034e+02 ; -5.11580e-01 ; -1.05978e-03 ; -2.51223e-05 ; -9.51326e-04 ; 1.33288e+02 
2.53562e+02 ; -5.12667e-01 ; -1.08311e-03 ; -2.51586e-05 ; -9.74667e-04 ; 1.34287e+02 
2.53089e+02 ; -5.10884e-01 ; -1.10365e-03 ; -2.50541e-05 ; -9.97990e-04 ; 1.35302e+02 
2.52616e+02 ; -5.10166e-01 ; -1.12685e-03 ; -2.50022e-05 ; -1.02101e-03 ; 1.36318e+02 
2.52199e+02 ; -5.08910e-01 ; -1.14978e-03 ; -2.49259e-05 ; -1.04133e-03 ; 1.37304e+02 
2.51717e+02 ; -5.09597e-01 ; -1.17054e-03 ; -2.49425e-05 ; -1.06481e-03 ; 1.38320e+02 
2.51311e+02 ; -5.09298e-01 ; -1.19336e-03 ; -2.49136e-05 ; -1.08454e-03 ; 1.39306e+02 
2.50832e+02 ; -5.09128e-01 ; -1.21621e-03 ; -2.48885e-05 ; -1.10789e-03 ; 1.40322e+02 
2.50342e+02 ; -5.09269e-01 ; -1.23529e-03 ; -2.48781e-05 ; -1.13174e-03 ; 1.41322e+02 
2.49939e+02 ; -5.08049e-01 ; -1.25897e-03 ; -2.48044e-05 ; -1.15136e-03 ; 1.42336e+02 
2.49458e+02 ; -5.06858e-01 ; -1.28201e-03 ; -2.47295e-05 ; -1.17480e-03 ; 1.43351e+02 
2.49056e+02 ; -5.05487e-01 ; -1.30191e-03 ; -2.46487e-05 ; -1.19436e-03 ; 1.44334e+02 
2.48582e+02 ; -5.04939e-01 ; -1.32478e-03 ; -2.46054e-05 ; -1.21748e-03 ; 1.45349e+02 
2.48108e+02 ; -5.05513e-01 ; -1.34785e-03 ; -2.46167e-05 ; -1.24055e-03 ; 1.46365e+02 
2.47707e+02 ; -5.04120e-01 ; -1.36754e-03 ; -2.45323e-05 ; -1.26006e-03 ; 1.47364e+02 
2.47239e+02 ; -5.02013e-01 ; -1.39055e-03 ; -2.44106e-05 ; -1.28287e-03 ; 1.48371e+02 
2.46770e+02 ; -5.01926e-01 ; -1.40993e-03 ; -2.43871e-05 ; -1.30569e-03 ; 1.49372e+02 
2.46369e+02 ; -5.00904e-01 ; -1.43252e-03 ; -2.43211e-05 ; -1.32526e-03 ; 1.50371e+02 
2.45905e+02 ; -5.02781e-01 ; -1.45519e-03 ; -2.43932e-05 ; -1.34784e-03 ; 1.51387e+02 
2.45441e+02 ; -5.00972e-01 ; -1.47461e-03 ; -2.42866e-05 ; -1.37042e-03 ; 1.52390e+02 
2.45033e+02 ; -5.00421e-01 ; -1.49704e-03 ; -2.42433e-05 ; -1.39028e-03 ; 1.53373e+02 
2.44571e+02 ; -4.99877e-01 ; -1.51997e-03 ; -2.41982e-05 ; -1.41280e-03 ; 1.54391e+02 
2.44174e+02 ; -4.97887e-01 ; -1.53911e-03 ; -2.40858e-05 ; -1.43214e-03 ; 1.55389e+02 
2.43709e+02 ; -4.96830e-01 ; -1.56119e-03 ; -2.40160e-05 ; -1.45475e-03 ; 1.56389e+02 
2.43246e+02 ; -4.95745e-01 ; -1.58064e-03 ; -2.39450e-05 ; -1.47733e-03 ; 1.57390e+02 
2.42858e+02 ; -4.92887e-01 ; -1.60274e-03 ; -2.37918e-05 ; -1.49598e-03 ; 1.58389e+02 
2.42389e+02 ; -4.92002e-01 ; -1.62499e-03 ; -2.37308e-05 ; -1.51845e-03 ; 1.59407e+02 
2.41935e+02 ; -5.02557e-01 ; -1.64365e-03 ; -2.42219e-05 ; -1.54019e-03 ; 1.60407e+02 
2.41526e+02 ; -5.02305e-01 ; -1.66621e-03 ; -2.41934e-05 ; -1.55981e-03 ; 1.61422e+02 
2.41050e+02 ; -5.01096e-01 ; -1.68892e-03 ; -2.41164e-05 ; -1.58257e-03 ; 1.62440e+02 
2.40584e+02 ; -4.98762e-01 ; -1.70844e-03 ; -2.39858e-05 ; -1.60490e-03 ; 1.63424e+02 
2.40178e+02 ; -4.97346e-01 ; -1.73008e-03 ; -2.39018e-05 ; -1.62436e-03 ; 1.64440e+02 
2.39719e+02 ; -4.94816e-01 ; -1.75260e-03 ; -2.37624e-05 ; -1.64636e-03 ; 1.65454e+02 
2.39259e+02 ; -4.94928e-01 ; -1.77116e-03 ; -2.37499e-05 ; -1.66839e-03 ; 1.66469e+02 
2.38859e+02 ; -4.94225e-01 ; -1.79359e-03 ; -2.37008e-05 ; -1.68753e-03 ; 1.67483e+02 
2.38392e+02 ; -4.92305e-01 ; -1.81509e-03 ; -2.35907e-05 ; -1.70989e-03 ; 1.68499e+02 
2.37937e+02 ; -4.89975e-01 ; -1.83476e-03 ; -2.34601e-05 ; -1.73169e-03 ; 1.69501e+02 
2.37538e+02 ; -4.88444e-01 ; -1.85599e-03 ; -2.33688e-05 ; -1.75080e-03 ; 1.70501e+02 
2.37084e+02 ; -4.89452e-01 ; -1.87780e-03 ; -2.33965e-05 ; -1.77257e-03 ; 1.71516e+02 
2.36638e+02 ; -4.88285e-01 ; -1.89638e-03 ; -2.33207e-05 ; -1.79390e-03 ; 1.72531e+02 
2.36240e+02 ; -4.87712e-01 ; -1.91789e-03 ; -2.32754e-05 ; -1.81299e-03 ; 1.73545e+02 
2.35798e+02 ; -4.86843e-01 ; -1.93891e-03 ; -2.32143e-05 ; -1.83415e-03 ; 1.74560e+02 
2.35342e+02 ; -4.87122e-01 ; -1.95791e-03 ; -2.32072e-05 ; -1.85600e-03 ; 1.75575e+02 
2.34953e+02 ; -4.88883e-01 ; -1.97931e-03 ; -2.32737e-05 ; -1.87462e-03 ; 1.76589e+02 
2.34502e+02 ; -4.89498e-01 ; -2.00137e-03 ; -2.32828e-05 ; -1.89626e-03 ; 1.77591e+02 
2.34046e+02 ; -4.86948e-01 ; -2.02036e-03 ; -2.31412e-05 ; -1.91808e-03 ; 1.78604e+02 
2.33672e+02 ; -4.84548e-01 ; -2.04141e-03 ; -2.30107e-05 ; -1.93600e-03 ; 1.79605e+02 
2.33213e+02 ; -4.84301e-01 ; -2.06262e-03 ; -2.29787e-05 ; -1.95799e-03 ; 1.80620e+02 
2.32763e+02 ; -4.83509e-01 ; -2.08145e-03 ; -2.29218e-05 ; -1.97917e-03 ; 1.81635e+02 
2.32361e+02 ; -4.87723e-01 ; -2.10195e-03 ; -2.31040e-05 ; -1.99810e-03 ; 1.82636e+02 
2.31914e+02 ; -4.87336e-01 ; -2.12373e-03 ; -2.30664e-05 ; -2.01908e-03 ; 1.83637e+02 
2.31455e+02 ; -4.84722e-01 ; -2.14232e-03 ; -2.29230e-05 ; -2.04064e-03 ; 1.84654e+02 
2.31069e+02 ; -4.83337e-01 ; -2.16346e-03 ; -2.28409e-05 ; -2.05882e-03 ; 1.85656e+02 
2.30611e+02 ; -4.82344e-01 ; -2.18457e-03 ; -2.27745e-05 ; -2.08032e-03 ; 1.86656e+02 
2.30160e+02 ; -4.81489e-01 ; -2.20326e-03 ; -2.27150e-05 ; -2.10154e-03 ; 1.87674e+02 
2.29778e+02 ; -4.81235e-01 ; -2.22394e-03 ; -2.26868e-05 ; -2.11949e-03 ; 1.88671e+02 
2.29333e+02 ; -4.81994e-01 ; -2.24478e-03 ; -2.27037e-05 ; -2.14042e-03 ; 1.89688e+02 
2.28876e+02 ; -4.78884e-01 ; -2.26310e-03 ; -2.25380e-05 ; -2.16186e-03 ; 1.90685e+02 
2.28493e+02 ; -4.78698e-01 ; -2.28404e-03 ; -2.25132e-05 ; -2.17988e-03 ; 1.91702e+02 
2.28041e+02 ; -4.77939e-01 ; -2.30480e-03 ; -2.24589e-05 ; -2.20111e-03 ; 1.92716e+02 
2.27605e+02 ; -4.77441e-01 ; -2.32267e-03 ; -2.24184e-05 ; -2.22162e-03 ; 1.93716e+02 
2.27227e+02 ; -4.76632e-01 ; -2.34309e-03 ; -2.23657e-05 ; -2.23939e-03 ; 1.94731e+02 
2.26773e+02 ; -4.76689e-01 ; -2.36397e-03 ; -2.23507e-05 ; -2.26070e-03 ; 1.95745e+02 
2.26344e+02 ; -4.74901e-01 ; -2.38162e-03 ; -2.22502e-05 ; -2.28089e-03 ; 1.96744e+02 
2.25962e+02 ; -4.74885e-01 ; -2.40232e-03 ; -2.22346e-05 ; -2.29884e-03 ; 1.97756e+02 
2.25512e+02 ; -4.78298e-01 ; -2.42364e-03 ; -2.23769e-05 ; -2.31997e-03 ; 1.98757e+02 
2.25073e+02 ; -4.73867e-01 ; -2.44094e-03 ; -2.21527e-05 ; -2.34060e-03 ; 1.99773e+02 
2.24695e+02 ; -4.72468e-01 ; -2.46190e-03 ; -2.20728e-05 ; -2.35838e-03 ; 2.00773e+02 
2.24263e+02 ; -4.70513e-01 ; -2.47891e-03 ; -2.19650e-05 ; -2.37867e-03 ; 2.01760e+02 
2.23889e+02 ; -4.69054e-01 ; -2.49939e-03 ; -2.18827e-05 ; -2.39626e-03 ; 2.02776e+02 
