T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
9.09822e+01 ; 5.53662e-01 ; -7.54700e-03 ; 1.45102e-05 ; -7.45850e-03 ; 1.56715e+02 
9.13400e+01 ; 5.52549e-01 ; -7.53174e-03 ; 1.45246e-05 ; -7.44933e-03 ; 1.57728e+02 
9.19359e+01 ; 5.53051e-01 ; -7.51954e-03 ; 1.46110e-05 ; -7.43408e-03 ; 1.58735e+02 
9.25319e+01 ; 5.50807e-01 ; -7.50732e-03 ; 1.46254e-05 ; -7.41882e-03 ; 1.59735e+02 
9.31280e+01 ; 5.50176e-01 ; -7.49207e-03 ; 1.46830e-05 ; -7.40356e-03 ; 1.60751e+02 
9.35660e+01 ; 5.48474e-01 ; -7.47986e-03 ; 1.46974e-05 ; -7.39135e-03 ; 1.61766e+02 
9.41108e+01 ; 5.46207e-01 ; -7.46460e-03 ; 1.47117e-05 ; -7.37610e-03 ; 1.62767e+02 
9.45467e+01 ; 5.43432e-01 ; -7.44935e-03 ; 1.46974e-05 ; -7.36389e-03 ; 1.63768e+02 
9.50919e+01 ; 5.41159e-01 ; -7.43409e-03 ; 1.47118e-05 ; -7.34863e-03 ; 1.64784e+02 
9.56366e+01 ; 5.39408e-01 ; -7.42187e-03 ; 1.47405e-05 ; -7.33337e-03 ; 1.65788e+02 
9.60726e+01 ; 5.39258e-01 ; -7.40357e-03 ; 1.47981e-05 ; -7.32117e-03 ; 1.66804e+02 
9.66178e+01 ; 5.38002e-01 ; -7.39136e-03 ; 1.48413e-05 ; -7.30590e-03 ; 1.67804e+02 
9.71625e+01 ; 5.32579e-01 ; -7.37916e-03 ; 1.47694e-05 ; -7.29065e-03 ; 1.68821e+02 
9.75987e+01 ; 5.29808e-01 ; -7.36389e-03 ; 1.47550e-05 ; -7.27844e-03 ; 1.69820e+02 
9.81434e+01 ; 5.21340e-01 ; -7.35168e-03 ; 1.45966e-05 ; -7.26318e-03 ; 1.70822e+02 
9.85796e+01 ; 5.19738e-01 ; -7.33948e-03 ; 1.45966e-05 ; -7.25097e-03 ; 1.71821e+02 
9.92334e+01 ; 5.20409e-01 ; -7.32117e-03 ; 1.46830e-05 ; -7.23267e-03 ; 1.72828e+02 
9.96693e+01 ; 5.21350e-01 ; -7.30897e-03 ; 1.47549e-05 ; -7.22046e-03 ; 1.73827e+02 
1.00105e+02 ; 5.19740e-01 ; -7.29371e-03 ; 1.47550e-05 ; -7.20825e-03 ; 1.74827e+02 
1.00650e+02 ; 5.17727e-01 ; -7.27845e-03 ; 1.47549e-05 ; -7.19299e-03 ; 1.75841e+02 
1.01195e+02 ; 5.17223e-01 ; -7.26624e-03 ; 1.47981e-05 ; -7.17773e-03 ; 1.76856e+02 
1.01740e+02 ; 5.13201e-01 ; -7.25098e-03 ; 1.47406e-05 ; -7.16248e-03 ; 1.77874e+02 
1.02176e+02 ; 5.11592e-01 ; -7.23878e-03 ; 1.47406e-05 ; -7.15027e-03 ; 1.78875e+02 
1.02721e+02 ; 5.12068e-01 ; -7.22656e-03 ; 1.48125e-05 ; -7.13501e-03 ; 1.79875e+02 
1.03048e+02 ; 5.10360e-01 ; -7.21130e-03 ; 1.47981e-05 ; -7.12585e-03 ; 1.80882e+02 
1.03662e+02 ; 5.08430e-01 ; -7.19604e-03 ; 1.48125e-05 ; -7.10754e-03 ; 1.81882e+02 
