T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
1.26435e+02 ; 3.84509e-01 ; -6.48360e-03 ; 1.29690e-05 ; -6.38797e-03 ; 1.93685e+02 
1.26830e+02 ; 3.82786e-01 ; -6.47110e-03 ; 1.29433e-05 ; -6.37450e-03 ; 1.94677e+02 
1.27212e+02 ; 3.75635e-01 ; -6.45944e-03 ; 1.27325e-05 ; -6.36150e-03 ; 1.95695e+02 
1.27526e+02 ; 3.68511e-01 ; -6.44718e-03 ; 1.25161e-05 ; -6.35077e-03 ; 1.96710e+02 
1.27906e+02 ; 3.82417e-01 ; -6.43384e-03 ; 1.30200e-05 ; -6.33781e-03 ; 1.97711e+02 
1.28295e+02 ; 3.78839e-01 ; -6.42220e-03 ; 1.29271e-05 ; -6.32456e-03 ; 1.98725e+02 
1.28618e+02 ; 3.70686e-01 ; -6.40948e-03 ; 1.26678e-05 ; -6.31356e-03 ; 1.99740e+02 
1.28997e+02 ; 3.66176e-01 ; -6.39688e-03 ; 1.25358e-05 ; -6.30060e-03 ; 2.00756e+02 
1.29372e+02 ; 3.67640e-01 ; -6.38584e-03 ; 1.26079e-05 ; -6.28783e-03 ; 2.01743e+02 
1.29692e+02 ; 3.68897e-01 ; -6.37293e-03 ; 1.26699e-05 ; -6.27692e-03 ; 2.02744e+02 
1.30075e+02 ; 3.71322e-01 ; -6.35994e-03 ; 1.27760e-05 ; -6.26386e-03 ; 2.03759e+02 
1.30453e+02 ; 3.73900e-01 ; -6.34888e-03 ; 1.28875e-05 ; -6.25097e-03 ; 2.04775e+02 
1.30797e+02 ; 3.74811e-01 ; -6.33581e-03 ; 1.29398e-05 ; -6.23922e-03 ; 2.05790e+02 
1.31174e+02 ; 3.76575e-01 ; -6.32274e-03 ; 1.30237e-05 ; -6.22638e-03 ; 2.06789e+02 
1.31570e+02 ; 3.78126e-01 ; -6.31157e-03 ; 1.31017e-05 ; -6.21288e-03 ; 2.07805e+02 
1.31899e+02 ; 3.78917e-01 ; -6.29799e-03 ; 1.31494e-05 ; -6.20167e-03 ; 2.08820e+02 
1.32297e+02 ; 3.78867e-01 ; -6.28471e-03 ; 1.31724e-05 ; -6.18809e-03 ; 2.09837e+02 
1.32693e+02 ; 3.77773e-01 ; -6.27338e-03 ; 1.31590e-05 ; -6.17460e-03 ; 2.10838e+02 
1.33025e+02 ; 3.77198e-01 ; -6.26005e-03 ; 1.31597e-05 ; -6.16326e-03 ; 2.11838e+02 
1.33398e+02 ; 3.75916e-01 ; -6.24682e-03 ; 1.31389e-05 ; -6.15014e-03 ; 2.12840e+02 
1.33775e+02 ; 3.75280e-01 ; -6.23532e-03 ; 1.31414e-05 ; -6.13661e-03 ; 2.13840e+02 
1.34100e+02 ; 3.73599e-01 ; -6.22203e-03 ; 1.31038e-05 ; -6.12500e-03 ; 2.14854e+02 
1.34467e+02 ; 3.72720e-01 ; -6.20899e-03 ; 1.30971e-05 ; -6.11186e-03 ; 2.15862e+02 
1.34836e+02 ; 3.70590e-01 ; -6.19739e-03 ; 1.30463e-05 ; -6.09865e-03 ; 2.16878e+02 
