T;dTdt [K/s];V [Volt];dV/dt [Volt/s];IntdTdt [V];etime [s]
2.73675e+02 ; -4.71434e-02 ; -9.12546e-05 ; -2.37735e-06 ; 2.66134e-05 ; 1.25331e+02 
2.73643e+02 ; -5.20495e-02 ; -9.25064e-05 ; -2.62466e-06 ; 2.49922e-05 ; 1.26344e+02 
2.73609e+02 ; -6.06500e-02 ; -9.46760e-05 ; -3.05822e-06 ; 2.32516e-05 ; 1.27359e+02 
2.73560e+02 ; -6.79839e-02 ; -9.71614e-05 ; -3.42783e-06 ; 2.07780e-05 ; 1.28373e+02 
2.73511e+02 ; -7.50610e-02 ; -9.97662e-05 ; -3.78444e-06 ; 1.83044e-05 ; 1.29389e+02 
2.73447e+02 ; -8.54337e-02 ; -1.02609e-04 ; -4.30708e-06 ; 1.50500e-05 ; 1.30404e+02 
2.73377e+02 ; -9.33562e-02 ; -1.06472e-04 ; -4.70610e-06 ; 1.14976e-05 ; 1.31419e+02 
2.73296e+02 ; -9.90647e-02 ; -1.10268e-04 ; -4.99338e-06 ; 7.40280e-06 ; 1.32419e+02 
2.73215e+02 ; -1.04542e-01 ; -1.13720e-04 ; -5.26897e-06 ; 3.27220e-06 ; 1.33436e+02 
2.73138e+02 ; -1.10109e-01 ; -1.18166e-04 ; -5.54900e-06 ; -6.19800e-07 ; 1.34452e+02 
2.73043e+02 ; -1.15207e-01 ; -1.22785e-04 ; -5.80530e-06 ; -5.35240e-06 ; 1.35453e+02 
2.72940e+02 ; -1.18063e-01 ; -1.27357e-04 ; -5.94849e-06 ; -1.05082e-05 ; 1.36453e+02 
2.72845e+02 ; -1.21669e-01 ; -1.32257e-04 ; -6.12947e-06 ; -1.52706e-05 ; 1.37468e+02 
2.72742e+02 ; -1.24819e-01 ; -1.37550e-04 ; -6.28742e-06 ; -2.04562e-05 ; 1.38483e+02 
2.72637e+02 ; -1.28573e-01 ; -1.41996e-04 ; -6.47571e-06 ; -2.56896e-05 ; 1.39500e+02 
2.72538e+02 ; -1.32824e-01 ; -1.47545e-04 ; -6.68902e-06 ; -3.06546e-05 ; 1.40502e+02 
2.72425e+02 ; -1.36034e-01 ; -1.53559e-04 ; -6.84973e-06 ; -3.63230e-05 ; 1.41500e+02 
2.72301e+02 ; -1.39586e-01 ; -1.58739e-04 ; -7.02758e-06 ; -4.25456e-05 ; 1.42516e+02 
2.72198e+02 ; -1.43261e-01 ; -1.64920e-04 ; -7.21171e-06 ; -4.76956e-05 ; 1.43520e+02 
2.72070e+02 ; -1.47469e-01 ; -1.70159e-04 ; -7.42244e-06 ; -5.41030e-05 ; 1.44521e+02 
2.71934e+02 ; -1.52163e-01 ; -1.76954e-04 ; -7.65748e-06 ; -6.09040e-05 ; 1.45533e+02 
2.71815e+02 ; -1.55121e-01 ; -1.83469e-04 ; -7.80520e-06 ; -6.68882e-05 ; 1.46534e+02 
2.71684e+02 ; -1.44031e-01 ; -1.90323e-04 ; -7.24607e-06 ; -7.34448e-05 ; 1.47550e+02 
2.71556e+02 ; -1.40875e-01 ; -1.95002e-04 ; -7.08620e-06 ; -7.98702e-05 ; 1.48567e+02 
2.71451e+02 ; -1.47000e-01 ; -2.01112e-04 ; -7.39342e-06 ; -8.51332e-05 ; 1.49567e+02 
2.71319e+02 ; -1.56221e-01 ; -2.07496e-04 ; -7.85595e-06 ; -9.17136e-05 ; 1.50570e+02 
2.71188e+02 ; -1.66731e-01 ; -2.14636e-04 ; -8.38320e-06 ; -9.83058e-05 ; 1.51570e+02 
2.71040e+02 ; -1.76525e-01 ; -2.22146e-04 ; -8.87406e-06 ; -1.05697e-04 ; 1.52583e+02 
2.70872e+02 ; -1.85242e-01 ; -2.28953e-04 ; -9.31044e-06 ; -1.14113e-04 ; 1.53598e+02 
2.70732e+02 ; -1.90725e-01 ; -2.37173e-04 ; -9.58443e-06 ; -1.21140e-04 ; 1.54600e+02 
2.70558e+02 ; -1.97573e-01 ; -2.45571e-04 ; -9.92653e-06 ; -1.29878e-04 ; 1.55584e+02 
2.70384e+02 ; -2.06000e-01 ; -2.53457e-04 ; -1.03478e-05 ; -1.38581e-04 ; 1.56599e+02 
2.70213e+02 ; -2.15000e-01 ; -2.63029e-04 ; -1.07977e-05 ; -1.47158e-04 ; 1.57616e+02 
2.70013e+02 ; -2.25710e-01 ; -2.73025e-04 ; -1.13329e-05 ; -1.57148e-04 ; 1.58617e+02 
2.69801e+02 ; -2.37634e-01 ; -2.82109e-04 ; -1.19286e-05 ; -1.67805e-04 ; 1.59619e+02 
2.69604e+02 ; -2.48185e-01 ; -2.92873e-04 ; -1.24554e-05 ; -1.77658e-04 ; 1.60619e+02 
2.69369e+02 ; -2.60217e-01 ; -3.02899e-04 ; -1.30556e-05 ; -1.89447e-04 ; 1.61621e+02 
2.69159e+02 ; -2.75426e-01 ; -3.15428e-04 ; -1.38152e-05 ; -1.99962e-04 ; 1.62622e+02 
2.68901e+02 ; -2.87733e-01 ; -3.27867e-04 ; -1.44282e-05 ; -2.12890e-04 ; 1.63637e+02 
2.68623e+02 ; -3.04559e-01 ; -3.39687e-04 ; -1.52669e-05 ; -2.26813e-04 ; 1.64637e+02 
2.68368e+02 ; -3.24248e-01 ; -3.54087e-04 ; -1.62490e-05 ; -2.39557e-04 ; 1.65640e+02 
2.68053e+02 ; -3.44021e-01 ; -3.69537e-04 ; -1.72331e-05 ; -2.55370e-04 ; 1.66639e+02 
2.67716e+02 ; -3.67479e-01 ; -3.83562e-04 ; -1.83993e-05 ; -2.72244e-04 ; 1.67640e+02 
2.67417e+02 ; -3.92103e-01 ; -4.01324e-04 ; -1.96238e-05 ; -2.87235e-04 ; 1.68641e+02 
2.67028e+02 ; -4.24239e-01 ; -4.17352e-04 ; -2.12204e-05 ; -3.06713e-04 ; 1.69642e+02 
2.66667e+02 ; -4.59827e-01 ; -4.37778e-04 ; -2.29887e-05 ; -3.24780e-04 ; 1.70640e+02 
2.66215e+02 ; -4.97512e-01 ; -4.60160e-04 ; -2.48567e-05 ; -3.47465e-04 ; 1.71655e+02 
2.65713e+02 ; -5.50884e-01 ; -4.81313e-04 ; -2.75036e-05 ; -3.72606e-04 ; 1.72655e+02 
2.65227e+02 ; -6.24252e-01 ; -5.08517e-04 ; -3.11451e-05 ; -3.96931e-04 ; 1.73670e+02 
2.64578e+02 ; -7.23399e-01 ; -5.39952e-04 ; -3.60585e-05 ; -4.29463e-04 ; 1.74683e+02 
2.63812e+02 ; -8.38223e-01 ; -5.71906e-04 ; -4.17366e-05 ; -4.67825e-04 ; 1.75686e+02 
2.63096e+02 ; -8.94308e-01 ; -6.12646e-04 ; -4.44840e-05 ; -5.03665e-04 ; 1.76700e+02 
2.62219e+02 ; -9.20227e-01 ; -6.55383e-04 ; -4.57173e-05 ; -5.46998e-04 ; 1.77714e+02 
2.61327e+02 ; -9.39996e-01 ; -6.92719e-04 ; -4.66414e-05 ; -5.91063e-04 ; 1.78728e+02 
2.60549e+02 ; -9.66252e-01 ; -7.37184e-04 ; -4.78922e-05 ; -6.29496e-04 ; 1.79745e+02 
2.59607e+02 ; -9.86650e-01 ; -7.83300e-04 ; -4.88393e-05 ; -6.76000e-04 ; 1.80743e+02 
2.58663e+02 ; -1.00244e+00 ; -8.23152e-04 ; -4.95556e-05 ; -7.22653e-04 ; 1.81758e+02 
2.57840e+02 ; -1.00725e+00 ; -8.70299e-04 ; -4.97359e-05 ; -7.63333e-04 ; 1.82758e+02 
2.56881e+02 ; -1.00404e+00 ; -9.17214e-04 ; -4.95086e-05 ; -8.10677e-04 ; 1.83772e+02 
2.55932e+02 ; -1.00032e+00 ; -9.57477e-04 ; -4.92576e-05 ; -8.57556e-04 ; 1.84788e+02 
2.54991e+02 ; -9.92729e-01 ; -1.00390e-03 ; -4.88175e-05 ; -9.04077e-04 ; 1.85803e+02 
2.54192e+02 ; -9.87805e-01 ; -1.05006e-03 ; -4.85196e-05 ; -9.43518e-04 ; 1.86811e+02 
2.53264e+02 ; -9.80071e-01 ; -1.08905e-03 ; -4.80754e-05 ; -9.89371e-04 ; 1.87810e+02 
2.52470e+02 ; -9.71938e-01 ; -1.13433e-03 ; -4.76228e-05 ; -1.02813e-03 ; 1.88825e+02 
2.51549e+02 ; -9.62677e-01 ; -1.17941e-03 ; -4.71076e-05 ; -1.07298e-03 ; 1.89842e+02 
2.50632e+02 ; -9.55674e-01 ; -1.21757e-03 ; -4.67045e-05 ; -1.11761e-03 ; 1.90842e+02 
2.49857e+02 ; -9.45779e-01 ; -1.26104e-03 ; -4.61703e-05 ; -1.15538e-03 ; 1.91840e+02 
2.48964e+02 ; -9.39093e-01 ; -1.30446e-03 ; -4.57863e-05 ; -1.19885e-03 ; 1.92854e+02 
2.48078e+02 ; -9.31000e-01 ; -1.34155e-03 ; -4.53342e-05 ; -1.24203e-03 ; 1.93870e+02 
2.47325e+02 ; -9.23704e-01 ; -1.38438e-03 ; -4.49220e-05 ; -1.27866e-03 ; 1.94885e+02 
2.46456e+02 ; -9.18471e-01 ; -1.42637e-03 ; -4.46023e-05 ; -1.32101e-03 ; 1.95885e+02 
2.45592e+02 ; -9.11111e-01 ; -1.46233e-03 ; -4.41808e-05 ; -1.36308e-03 ; 1.96887e+02 
2.44864e+02 ; -8.92617e-01 ; -1.50372e-03 ; -4.32312e-05 ; -1.39852e-03 ; 1.97900e+02 
2.44027e+02 ; -8.89401e-01 ; -1.54418e-03 ; -4.30152e-05 ; -1.43929e-03 ; 1.98915e+02 
2.43196e+02 ; -8.84505e-01 ; -1.57899e-03 ; -4.27190e-05 ; -1.47976e-03 ; 1.99930e+02 
2.42481e+02 ; -8.79815e-01 ; -1.61924e-03 ; -4.24426e-05 ; -1.51403e-03 ; 2.00931e+02 
2.41644e+02 ; -8.76087e-01 ; -1.65953e-03 ; -4.22048e-05 ; -1.55416e-03 ; 2.01946e+02 
2.40816e+02 ; -8.69491e-01 ; -1.69861e-03 ; -4.18303e-05 ; -1.59379e-03 ; 2.02963e+02 
2.40109e+02 ; -8.63219e-01 ; -1.73290e-03 ; -4.14806e-05 ; -1.62765e-03 ; 2.03961e+02 
2.39284e+02 ; -8.59561e-01 ; -1.77187e-03 ; -4.12492e-05 ; -1.66719e-03 ; 2.04975e+02 
2.38483e+02 ; -8.52855e-01 ; -1.81012e-03 ; -4.08739e-05 ; -1.70553e-03 ; 2.05991e+02 
2.37792e+02 ; -8.46159e-01 ; -1.84331e-03 ; -4.05030e-05 ; -1.73865e-03 ; 2.06991e+02 
2.36988e+02 ; -8.39094e-01 ; -1.88096e-03 ; -4.01026e-05 ; -1.77714e-03 ; 2.08009e+02 
2.36202e+02 ; -8.35790e-01 ; -1.91333e-03 ; -3.98842e-05 ; -1.81479e-03 ; 2.09012e+02 
2.35536e+02 ; -8.30386e-01 ; -1.95079e-03 ; -3.95755e-05 ; -1.84671e-03 ; 2.09996e+02 
2.34755e+02 ; -8.25237e-01 ; -1.98790e-03 ; -3.92711e-05 ; -1.88412e-03 ; 2.11008e+02 
2.33987e+02 ; -8.21354e-01 ; -2.01980e-03 ; -3.90288e-05 ; -1.92090e-03 ; 2.12012e+02 
2.33332e+02 ; -8.15331e-01 ; -2.05634e-03 ; -3.86940e-05 ; -1.95227e-03 ; 2.13010e+02 
2.32556e+02 ; -8.12244e-01 ; -2.09289e-03 ; -3.84911e-05 ; -1.98892e-03 ; 2.14026e+02 
2.31786e+02 ; -8.06381e-01 ; -2.12356e-03 ; -3.81581e-05 ; -2.02513e-03 ; 2.15029e+02 
2.31130e+02 ; -8.01195e-01 ; -2.15946e-03 ; -3.78662e-05 ; -2.05594e-03 ; 2.16043e+02 
2.30377e+02 ; -7.88963e-01 ; -2.19489e-03 ; -3.72356e-05 ; -2.09134e-03 ; 2.17060e+02 
